tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5
Root,Root,root,Root,Root,,,,,,
Bacteria,Root,rank_0,Bacteria,Root,Bacteria,,,,,
Bacteroidota,Bacteria,rank_1,Bacteroidota,Root,Bacteria,Bacteroidota,,,,
Flavobacteriia,Bacteroidota,rank_2,Flavobacteriia,Root,Bacteria,Bacteroidota,Flavobacteriia,,,
Flavobacteriales,Flavobacteriia,rank_3,Flavobacteriales,Root,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,,
Flavobacteriaceae,Flavobacteriales,rank_4,Flavobacteriaceae,Root,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,
Gramella,Flavobacteriaceae,rank_5,Gramella,Root,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella
Campylobacterota,Bacteria,rank_1,Campylobacterota,Root,Bacteria,Campylobacterota,,,,
Epsilonproteobacteria,Campylobacterota,rank_2,Epsilonproteobacteria,Root,Bacteria,Campylobacterota,Epsilonproteobacteria,,,
Campylobacterales,Epsilonproteobacteria,rank_3,Campylobacterales,Root,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,,
Campylobacteraceae,Campylobacterales,rank_4,Campylobacteraceae,Root,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,
Campylobacter,Campylobacteraceae,rank_5,Campylobacter,Root,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Pseudomonadota,Bacteria,rank_1,Pseudomonadota,Root,Bacteria,Pseudomonadota,,,,
Alphaproteobacteria,Pseudomonadota,rank_2,Alphaproteobacteria,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,,,
Rhodobacterales,Alphaproteobacteria,rank_3,Rhodobacterales,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,,
Paracoccaceae,Rhodobacterales,rank_4,Paracoccaceae,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,
Paracoccus,Paracoccaceae,rank_5,Paracoccus,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus
Betaproteobacteria,Pseudomonadota,rank_2,Betaproteobacteria,Root,Bacteria,Pseudomonadota,Betaproteobacteria,,,
Rhodocyclales,Betaproteobacteria,rank_3,Rhodocyclales,Root,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,,
Zoogloeaceae,Rhodocyclales,rank_4,Zoogloeaceae,Root,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,
Azoarcus,Zoogloeaceae,rank_5,Azoarcus,Root,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus
Gammaproteobacteria,Pseudomonadota,rank_2,Gammaproteobacteria,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,,,
Alteromonadales,Gammaproteobacteria,rank_3,Alteromonadales,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,,
Psychromonadaceae,Alteromonadales,rank_4,Psychromonadaceae,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,
Psychromonas,Psychromonadaceae,rank_5,Psychromonas,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas
Pseudomonadales,Gammaproteobacteria,rank_3,Pseudomonadales,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,,
Marinobacteraceae,Pseudomonadales,rank_4,Marinobacteraceae,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,
Marinobacter,Marinobacteraceae,rank_5,Marinobacter,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter
Burkholderiales,Betaproteobacteria,rank_3,Burkholderiales,Root,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,
Comamonadaceae,Burkholderiales,rank_4,Comamonadaceae,Root,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,
Acidovorax,Comamonadaceae,rank_5,Acidovorax,Root,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
Thermoproteota,Bacteria,rank_1,Thermoproteota,Root,Bacteria,Thermoproteota,,,,
Thermoprotei,Thermoproteota,rank_2,Thermoprotei,Root,Bacteria,Thermoproteota,Thermoprotei,,,
Thermoproteales,Thermoprotei,rank_3,Thermoproteales,Root,Bacteria,Thermoproteota,Thermoprotei,Thermoproteales,,
Thermoproteaceae,Thermoproteales,rank_4,Thermoproteaceae,Root,Bacteria,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,
Pyrobaculum,Thermoproteaceae,rank_5,Pyrobaculum,Root,Bacteria,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
Burkholderiaceae,Burkholderiales,rank_4,Burkholderiaceae,Root,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,
Burkholderia,Burkholderiaceae,rank_5,Burkholderia,Root,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Shewanellaceae,Alteromonadales,rank_4,Shewanellaceae,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,
Shewanella,Shewanellaceae,rank_5,Shewanella,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
Maribacter,Flavobacteriaceae,rank_5,Maribacter,Root,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter
Robiginitalea,Flavobacteriaceae,rank_5,Robiginitalea,Root,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Robiginitalea
Bacillota,Bacteria,rank_1,Bacillota,Root,Bacteria,Bacillota,,,,
Bacilli,Bacillota,rank_2,Bacilli,Root,Bacteria,Bacillota,Bacilli,,,
Bacillales,Bacilli,rank_3,Bacillales,Root,Bacteria,Bacillota,Bacilli,Bacillales,,
Bacillaceae,Bacillales,rank_4,Bacillaceae,Root,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,
Geobacillus,Bacillaceae,rank_5,Geobacillus,Root,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Geobacillus
Pseudomonadaceae,Pseudomonadales,rank_4,Pseudomonadaceae,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,
Pseudomonas,Pseudomonadaceae,rank_5,Pseudomonas,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Cereibacter,Paracoccaceae,rank_5,Cereibacter,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Cereibacter
Hyphomicrobiales,Alphaproteobacteria,rank_3,Hyphomicrobiales,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,,
Nitrobacteraceae,Hyphomicrobiales,rank_4,Nitrobacteraceae,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,
Bradyrhizobium,Nitrobacteraceae,rank_5,Bradyrhizobium,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium
Nautiliales,Epsilonproteobacteria,rank_3,Nautiliales,Root,Bacteria,Campylobacterota,Epsilonproteobacteria,Nautiliales,,
Nitratiruptoraceae,Nautiliales,rank_4,Nitratiruptoraceae,Root,Bacteria,Campylobacterota,Epsilonproteobacteria,Nautiliales,Nitratiruptoraceae,
Nitratiruptor,Nitratiruptoraceae,rank_5,Nitratiruptor,Root,Bacteria,Campylobacterota,Epsilonproteobacteria,Nautiliales,Nitratiruptoraceae,Nitratiruptor
Sulfurovaceae,Campylobacterales,rank_4,Sulfurovaceae,Root,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurovaceae,
Sulfurovum,Sulfurovaceae,rank_5,Sulfurovum,Root,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum
Brucellaceae,Hyphomicrobiales,rank_4,Brucellaceae,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,
Brucella,Brucellaceae,rank_5,Brucella,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella
Myxococcota,Bacteria,rank_1,Myxococcota,Root,Bacteria,Myxococcota,,,,
Myxococcia,Myxococcota,rank_2,Myxococcia,Root,Bacteria,Myxococcota,Myxococcia,,,
Myxococcales,Myxococcia,rank_3,Myxococcales,Root,Bacteria,Myxococcota,Myxococcia,Myxococcales,,
Anaeromyxobacteraceae,Myxococcales,rank_4,Anaeromyxobacteraceae,Root,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,
Anaeromyxobacter,Anaeromyxobacteraceae,rank_5,Anaeromyxobacter,Root,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter
Roseobacteraceae,Rhodobacterales,rank_4,Roseobacteraceae,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,
Dinoroseobacter,Roseobacteraceae,rank_5,Dinoroseobacter,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Dinoroseobacter
Alcaligenaceae,Burkholderiales,rank_4,Alcaligenaceae,Root,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,
Bordetella,Alcaligenaceae,rank_5,Bordetella,Root,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella
Spirochaetota,Bacteria,rank_1,Spirochaetota,Root,Bacteria,Spirochaetota,,,,
Spirochaetia,Spirochaetota,rank_2,Spirochaetia,Root,Bacteria,Spirochaetota,Spirochaetia,,,
Leptospirales,Spirochaetia,rank_3,Leptospirales,Root,Bacteria,Spirochaetota,Spirochaetia,Leptospirales,,
Leptospiraceae,Leptospirales,rank_4,Leptospiraceae,Root,Bacteria,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,
Leptospira,Leptospiraceae,rank_5,Leptospira,Root,Bacteria,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira
Methylobacteriaceae,Hyphomicrobiales,rank_4,Methylobacteriaceae,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,
Methylobacterium,Methylobacteriaceae,rank_5,Methylobacterium,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium
Sphaerotilaceae,Burkholderiales,rank_4,Sphaerotilaceae,Root,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,
Leptothrix,Sphaerotilaceae,rank_5,Leptothrix,Root,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Leptothrix
Verrucomicrobiota,Bacteria,rank_1,Verrucomicrobiota,Root,Bacteria,Verrucomicrobiota,,,,
Opitutae,Verrucomicrobiota,rank_2,Opitutae,Root,Bacteria,Verrucomicrobiota,Opitutae,,,
Opitutales,Opitutae,rank_3,Opitutales,Root,Bacteria,Verrucomicrobiota,Opitutae,Opitutales,,
Opitutaceae,Opitutales,rank_4,Opitutaceae,Root,Bacteria,Verrucomicrobiota,Opitutae,Opitutales,Opitutaceae,
Opitutus,Opitutaceae,rank_5,Opitutus,Root,Bacteria,Verrucomicrobiota,Opitutae,Opitutales,Opitutaceae,Opitutus
Ralstonia,Burkholderiaceae,rank_5,Ralstonia,Root,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
Rhodopseudomonas,Nitrobacteraceae,rank_5,Rhodopseudomonas,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Rhodopseudomonas
Rhodospirillales,Alphaproteobacteria,rank_3,Rhodospirillales,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,,
Rhodospirillaceae,Rhodospirillales,rank_4,Rhodospirillaceae,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,
Rhodospirillum,Rhodospirillaceae,rank_5,Rhodospirillum,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum
Oligotropha,Nitrobacteraceae,rank_5,Oligotropha,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Oligotropha
Clostridia,Bacillota,rank_2,Clostridia,Root,Bacteria,Bacillota,Clostridia,,,
Eubacteriales,Clostridia,rank_3,Eubacteriales,Root,Bacteria,Bacillota,Clostridia,Eubacteriales,,
Desulfitobacteriaceae,Eubacteriales,rank_4,Desulfitobacteriaceae,Root,Bacteria,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,
Desulfitobacterium,Desulfitobacteriaceae,rank_5,Desulfitobacterium,Root,Bacteria,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfitobacterium
Chromatiales,Gammaproteobacteria,rank_3,Chromatiales,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,,
Ectothiorhodospiraceae,Chromatiales,rank_4,Ectothiorhodospiraceae,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,
Thioalkalivibrio,Ectothiorhodospiraceae,rank_5,Thioalkalivibrio,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio
Thermomicrobiota,Bacteria,rank_1,Thermomicrobiota,Root,Bacteria,Thermomicrobiota,,,,
Thermomicrobia,Thermomicrobiota,rank_2,Thermomicrobia,Root,Bacteria,Thermomicrobiota,Thermomicrobia,,,
Thermomicrobiales,Thermomicrobia,rank_3,Thermomicrobiales,Root,Bacteria,Thermomicrobiota,Thermomicrobia,Thermomicrobiales,,
Thermomicrobiaceae,Thermomicrobiales,rank_4,Thermomicrobiaceae,Root,Bacteria,Thermomicrobiota,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae,
Thermomicrobium,Thermomicrobiaceae,rank_5,Thermomicrobium,Root,Bacteria,Thermomicrobiota,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae,Thermomicrobium
Euryarchaeota,Bacteria,rank_1,Euryarchaeota,Root,Bacteria,Euryarchaeota,,,,
Halobacteria,Euryarchaeota,rank_2,Halobacteria,Root,Bacteria,Euryarchaeota,Halobacteria,,,
Haloferacales,Halobacteria,rank_3,Haloferacales,Root,Bacteria,Euryarchaeota,Halobacteria,Haloferacales,,
Halorubraceae,Haloferacales,rank_4,Halorubraceae,Root,Bacteria,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,
Halorubrum,Halorubraceae,rank_5,Halorubrum,Root,Bacteria,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum
Diaphorobacter,Comamonadaceae,rank_5,Diaphorobacter,Root,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter
Aquificota,Bacteria,rank_1,Aquificota,Root,Bacteria,Aquificota,,,,
Aquificae,Aquificota,rank_2,Aquificae,Root,Bacteria,Aquificota,Aquificae,,,
Aquificales,Aquificae,rank_3,Aquificales,Root,Bacteria,Aquificota,Aquificae,Aquificales,,
Hydrogenothermaceae,Aquificales,rank_4,Hydrogenothermaceae,Root,Bacteria,Aquificota,Aquificae,Aquificales,Hydrogenothermaceae,
Persephonella,Hydrogenothermaceae,rank_5,Persephonella,Root,Bacteria,Aquificota,Aquificae,Aquificales,Hydrogenothermaceae,Persephonella
Gemmatimonadota,Bacteria,rank_1,Gemmatimonadota,Root,Bacteria,Gemmatimonadota,,,,
Gemmatimonadetes,Gemmatimonadota,rank_2,Gemmatimonadetes,Root,Bacteria,Gemmatimonadota,Gemmatimonadetes,,,
Gemmatimonadales,Gemmatimonadetes,rank_3,Gemmatimonadales,Root,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,,
Gemmatimonadaceae,Gemmatimonadales,rank_4,Gemmatimonadaceae,Root,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,
Gemmatimonas,Gemmatimonadaceae,rank_5,Gemmatimonas,Root,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
Thauera,Zoogloeaceae,rank_5,Thauera,Root,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera
Cytophagia,Bacteroidota,rank_2,Cytophagia,Root,Bacteria,Bacteroidota,Cytophagia,,,
Cytophagales,Cytophagia,rank_3,Cytophagales,Root,Bacteria,Bacteroidota,Cytophagia,Cytophagales,,
Spirosomataceae,Cytophagales,rank_4,Spirosomataceae,Root,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,
Dyadobacter,Spirosomataceae,rank_5,Dyadobacter,Root,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Dyadobacter
Rhodothermota,Bacteria,rank_1,Rhodothermota,Root,Bacteria,Rhodothermota,,,,
