seqname,tax_id
tr|A0M190|A0M190_GRAFK,Gramella
tr|A0RN57|A0RN57_CAMFF,Campylobacter
tr|A1B9T9|A1B9T9_PARDP,Paracoccus
tr|A1KA74|A1KA74_AZOSB,Azoarcus
tr|A1SUT0|A1SUT0_PSYIN,Psychromonas
tr|A1U583|A1U583_MARHV,Marinobacter
tr|A1W547|A1W547_ACISJ,Acidovorax
tr|A3MXH7|A3MXH7_PYRCJ,Pyrobaculum
tr|A3N9S4|A3N9S4_BURP6,Burkholderia
tr|A3QIG8|A3QIG8_SHELP,Shewanella
tr|A4AN05|A4AN05_MARSH,Maribacter
tr|A4CHB3|A4CHB3_ROBBH,Robiginitalea
tr|A4IP44|A4IP44_GEOTN,Geobacillus
tr|A4VQC7|A4VQC7_PSEU5,Pseudomonas
tr|A4WXT8|A4WXT8_RHOS5,Cereibacter
tr|A5EP51|A5EP51_BRASB,Bradyrhizobium
tr|A6Q5Y5|A6Q5Y5_NITSB,Nitratiruptor
tr|A6QCB0|A6QCB0_SULNB,Sulfurovum
tr|A6V237|A6V237_PSEA7,Pseudomonas
tr|A6X742|A6X742_OCHA4,Brucella
tr|A7H0S2|A7H0S2_CAMC5,Campylobacter
tr|A7H6W6|A7H6W6_ANADF,Anaeromyxobacter
tr|A8LM18|A8LM18_DINSH,Dinoroseobacter
tr|A9ICP1|A9ICP1_BORPD,Bordetella
tr|A9ME28|A9ME28_BRUC2,Brucella
tr|B0SIZ1|B0SIZ1_LEPBP,Leptospira
tr|B0UIC2|B0UIC2_METS4,Methylobacterium
tr|B1Y809|B1Y809_LEPCP,Leptothrix
tr|B1ZWX6|B1ZWX6_OPITP,Opitutus
tr|B2UHW1|B2UHW1_RALPJ,Ralstonia
tr|B3QDW5|B3QDW5_RHOPT,Rhodopseudomonas
tr|B4UJY3|B4UJY3_ANASK,Anaeromyxobacter
tr|B6IY80|B6IY80_RHOCS,Rhodospirillum
tr|B6JBU9|B6JBU9_OLICO,Oligotropha
tr|B8FZJ4|B8FZJ4_DESHD,Desulfitobacterium
tr|B8GM53|B8GM53_THISH,Thioalkalivibrio
tr|B8J545|B8J545_ANAD2,Anaeromyxobacter
tr|B9KWZ3|B9KWZ3_RHOSK,Cereibacter
tr|B9L330|B9L330_THERP,Thermomicrobium
tr|B9LN21|B9LN21_HALLT,Halorubrum
tr|B9MFH4|B9MFH4_ACIET,Diaphorobacter
tr|C0QQT4|C0QQT4_PERMH,Persephonella
tr|C1A867|C1A867_GEMAT,Gemmatimonas
tr|C4AS77|C4AS77_BURML,Burkholderia
tr|C4ZN24|C4ZN24_THASP,Thauera
tr|C6W198|C6W198_DYAFD,Dyadobacter
tr|C6X281|C6X281_FLAB3,Flavobacteriaceae
tr|C7LHB8|C7LHB8_BRUMC,Brucella
tr|C7RJ68|C7RJ68_ACCPU,Betaproteobacteria
tr|D0MKI1|D0MKI1_RHOM4,Rhodothermus
tr|D1C1Q5|D1C1Q5_SPHTD,Sphaerobacter
tr|D3DFM8|D3DFM8_HYDTT,Hydrogenobacter
tr|D3S180|D3S180_FERPA,Ferroglobus
tr|D4H673|D4H673_DENA2,Denitrovibrio
tr|D5AVJ6|D5AVJ6_RHOCB,Rhodobacter
tr|D5H5K0|D5H5K0_SALRM,Salinibacter
tr|D8JZ83|D8JZ83_HYPDA,Hyphomicrobium
tr|D8NEN6|D8NEN6_RALSL,Ralstonia
tr|E0URE5|E0URE5_SULAO,Sulfurimonas
tr|E1VFI9|E1VFI9_9GAMM,Gammaproteobacteria
tr|E3HH49|E3HH49_ACHXA,Achromobacter
tr|E4NU60|E4NU60_HALBP,Halogeometricum
tr|E4TDH1|E4TDH1_RIEAD,Riemerella
tr|E4TR05|E4TR05_MARTH,Marivirga
tr|E4ZES4|E4ZES4_NEIL0,Neisseria
tr|E6VCU4|E6VCU4_RHOPX,Rhodopseudomonas
tr|E6X0P5|E6X0P5_NITSE,Nitratifractor
tr|E6X4T6|E6X4T6_CELAD,Cellulophaga
tr|E8TXN3|E8TXN3_ALIDB,Alicycliphilus
tr|F0S502|F0S502_PEDSD,Pseudopedobacter
tr|F2J4Q5|F2J4Q5_POLGS,Polymorphum
tr|F2KF53|F2KF53_PSEBN,Pseudomonas
tr|F2KH87|F2KH87_PSEBN,Pseudomonas
tr|F2KVB9|F2KVB9_PREDF,Prevotella
tr|F2N639|F2N639_PSEU6,Pseudomonas
tr|F4DW40|F4DW40_PSEMN,Pseudomonas
tr|F4KSA9|F4KSA9_HALH1,Haliscomenobacter
tr|F6DRN2|F6DRN2_DESRL,Desulforamulus
tr|F7ZJT6|F7ZJT6_ROSLO,Roseobacter
tr|F8D541|F8D541_HALXS,Halopiger
tr|F8EB68|F8EB68_RUNSL,Runella
tr|F8H0X4|F8H0X4_PSEUT,Pseudomonas
tr|G0HY49|G0HY49_HALHT,Haloarcula
tr|G0L5N9|G0L5N9_ZOBGA,Zobellia
tr|G2MJ29|G2MJ29_9ARCH,Haloferacales
tr|G2PJ24|G2PJ24_MURRD,Allomuricauda
tr|G2SK29|G2SK29_RHOMR,Rhodothermus
tr|G7VIA2|G7VIA2_9CREN,Pyrobaculum
tr|G7ZD37|G7ZD37_AZOL4,Azospirillum
tr|G8AY07|G8AY07_AZOBR,Azospirillum
tr|G8PG62|G8PG62_PSEUV,Pseudovibrio
tr|G8Q381|G8Q381_PSEFL,Pseudomonas
tr|G8QIC8|G8QIC8_AZOSU,Azospira
tr|G8QJW1|G8QJW1_AZOSU,Azospira
tr|G8R6E9|G8R6E9_OWEHD,Owenweeksia
tr|G8TDS3|G8TDS3_NIAKG,Niastella
tr|G8X685|G8X685_FLACA,Flavobacterium
tr|H0Q1X7|H0Q1X7_9RHOO,Azoarcus
tr|H8KU01|H8KU01_SOLCM,Solitalea
tr|H8WE90|H8WE90_MARHY,Marinobacter
tr|I0AHV3|I0AHV3_IGNAJ,Iavibacterium
tr|I0HQH5|I0HQH5_RUBGI,Rubrivivax
tr|I0I0G7|I0I0G7_CALAS,Caldilinea
tr|I3R9L6|I3R9L6_HALMT,Haloferax
tr|I3X995|I3X995_RHIFR,Sinorhizobium
tr|I3YRQ3|I3YRQ3_AEQSU,Aequorivita
tr|I3Z5N6|I3Z5N6_BELBD,Belliella
tr|I4A3Y3|I4A3Y3_DESDJ,Desulfitobacterium
tr|I4C1E2|I4C1E2_DESTA,Desulfomonile
tr|I4CPI6|I4CPI6_PSEST,Stutzerimonas
tr|I6ZBW8|I6ZBW8_PSEST,Stutzerimonas
tr|I6ZZA8|I6ZZA8_MELRP,Melioribacter
tr|J7IU03|J7IU03_DESMD,Desulfosporosinus
tr|J9QXB8|J9QXB8_RIEAN,Riemerella
tr|K0CIR8|K0CIR8_ALCDB,Alloalcanivorax
tr|K4ICU9|K4ICU9_PSYTT,Psychroflexus
tr|L0DUN0|L0DUN0_THIND,Thioalkalivibrio
tr|L0F3H3|L0F3H3_DESDL,Desulfitobacterium
tr|L0GHA6|L0GHA6_PSEST,Stutzerimonas
tr|L0K690|L0K690_9EURY,Natronococcus
tr|M1FFR3|M1FFR3_9ALTE,Marinobacter
tr|M4MI05|M4MI05_SINM2,Sinorhizobium
tr|M4NFX3|M4NFX3_9GAMM,Rhodanobacter
tr|M4V3U9|M4V3U9_RALSL,Ralstonia
tr|M4X3Z5|M4X3Z5_PSEDE,Pseudomonas
tr|M4ZFB5|M4ZFB5_9BRAD,Bradyrhizobium
tr|N0B3H1|N0B3H1_9RHIZ,Hyphomicrobium
tr|N8N2X9|N8N2X9_BRUOV,Brucella
tr|Q07M02|Q07M02_RHOP5,Rhodopseudomonas
tr|Q0A9R1|Q0A9R1_ALKEH,Alkalilimnicola
tr|Q12M27|Q12M27_SHEDO,Shewanella
tr|Q16A17|Q16A17_ROSDO,Roseobacter
tr|Q1LDJ7|Q1LDJ7_RALME,Cupriavidus
tr|Q21C83|Q21C83_RHOPB,Rhodopseudomonas
tr|Q21TJ5|Q21TJ5_RHOFT,Rhodoferax
tr|Q2IKI9|Q2IKI9_ANADE,Anaeromyxobacter
tr|Q2IVC2|Q2IVC2_RHOP2,Rhodopseudomonas
tr|Q2SGT6|Q2SGT6_HAHCH,Hahella
tr|Q2W2N5|Q2W2N5_MAGSA,Maetospirillum
tr|Q30PN7|Q30PN7_SULDN,Sulfurimonas
tr|Q30R05|Q30R05_SULDN,Sulfurimonas
tr|Q3SJ28|Q3SJ28_THIDA,Thiobacillus
tr|Q47FQ7|Q47FQ7_DECAR,Dechloromonas
tr|Q47UZ6|Q47UZ6_COLP3,Colwellia
sp|Q59105|NOSZ_CUPNH,Cupriavidus
tr|Q5LLH7|Q5LLH7_RUEPO,Ruegeria
tr|Q5NZ01|Q5NZ01_AROAE,Aromatoleum
tr|Q5V4X2|Q5V4X2_HALMA,Haloarcula
tr|Q6LJ11|Q6LJ11_PHOPR,Photobacterium
tr|Q6N843|Q6N843_RHOPA,Rhodopseudomonas
sp|Q89XJ6|NOSZ_BRADU,Bradyrhizobium
sp|Q9HYL2|NOSZ_PSEAE,Pseudomonas
tr|R4XZV1|R4XZV1_ALCXX,Achromobacter
tr|S5ZD70|S5ZD70_9BACI,Geobacillus
tr|S6AB06|S6AB06_9PROT,Sulfuricella
tr|U5XXQ4|U5XXQ4_CAMFE,Campylobacter
MAG6,Desulfitobacterium
OFZ65670.1,Gallionella
OGP12011.1,UBA9637
OGP29534.1,GWC2-42-11
OGQ36455.1,UBA9637
OGS90089.1,Gallionella
OGS98541.1,Gallionella
OGW06966.1,UBA9942
OGW06349.1,UBA9942
OGW13723.1,UBA9942
OHC75614.1,2-02-FULL-58-16
MBQ62112.1,GCA-002726655
HAG50991.1,UBA9637
HBA25868.1,UBA9942
TAN85019.1,Gallionella
TXT24884.1,VIKH01
MCL1916466.1,WRHT01
HDH08136.1,BMS3Bbin11
HEC16151.1,DRKS01
HEC20210.1,SZUA-152
HEB71726.1,UBA7883
